2020/03/06 00:00:00.338 [D]  Partition:0, Offset:144388, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:00 CST 2020
2020/03/06 00:00:01.345 [D]  Partition:0, Offset:144389, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:01 CST 2020
2020/03/06 00:00:02.380 [D]  Partition:0, Offset:144390, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:02 CST 2020
2020/03/06 00:00:03.376 [D]  Partition:0, Offset:144391, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:03 CST 2020
2020/03/06 00:00:04.387 [D]  Partition:0, Offset:144392, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:04 CST 2020
2020/03/06 00:00:05.407 [D]  Partition:0, Offset:144393, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:05 CST 2020
2020/03/06 00:00:06.420 [D]  Partition:0, Offset:144394, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:06 CST 2020
2020/03/06 00:00:07.431 [D]  Partition:0, Offset:144395, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:07 CST 2020
2020/03/06 00:00:08.440 [D]  Partition:0, Offset:144396, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:08 CST 2020
2020/03/06 00:00:09.471 [D]  Partition:0, Offset:144397, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:09 CST 2020
2020/03/06 00:00:10.482 [D]  Partition:0, Offset:144398, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:10 CST 2020
2020/03/06 00:00:11.481 [D]  Partition:0, Offset:144399, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:11 CST 2020
2020/03/06 00:00:12.502 [D]  Partition:0, Offset:144400, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:12 CST 2020
2020/03/06 00:00:13.512 [D]  Partition:0, Offset:144401, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:13 CST 2020
2020/03/06 00:00:14.528 [D]  Partition:0, Offset:144402, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:14 CST 2020
2020/03/06 00:00:15.538 [D]  Partition:0, Offset:144403, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:15 CST 2020
2020/03/06 00:00:16.564 [D]  Partition:0, Offset:144404, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:16 CST 2020
2020/03/06 00:00:17.559 [D]  Partition:0, Offset:144405, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:17 CST 2020
2020/03/06 00:00:18.568 [D]  Partition:0, Offset:144406, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:18 CST 2020
2020/03/06 00:00:19.593 [D]  Partition:0, Offset:144407, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:19 CST 2020
2020/03/06 00:00:20.617 [D]  Partition:0, Offset:144408, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:20 CST 2020
